code,n,human_pos,gemini_pos,both_1,human_only,gemini_only,agreement,alpha,f1,note,report
power,30,13,21,13,0,8,0.733,0.466,0.765,,v1_pilot
privacy,30,2,1,1,1,0,0.967,0.655,0.667,,v1_pilot
safety,30,15,18,15,0,3,0.9,0.801,0.909,,v1_pilot
choice,30,1,3,1,0,2,0.933,0.473,0.5,,v1_pilot
community,30,9,11,8,1,3,0.867,0.705,0.8,,v1_pilot
engagement,30,19,21,17,2,4,0.8,0.558,0.85,,v1_pilot
ip_protection,30,3,4,2,1,2,0.9,0.523,0.571,,v1_pilot
improvement,30,2,4,2,0,2,0.933,0.636,0.667,,v1_pilot
care,30,1,4,1,0,3,0.9,0.356,0.4,,v1_pilot
accountability,30,4,3,3,1,0,0.967,0.841,0.857,,v1_pilot
B1_authenticity_claims,30,0,0,0,0,0,1.0,,,ALL_ZERO,v1_pilot
B2_religious_sensitivity,30,0,0,0,0,0,1.0,,,ALL_ZERO,v1_pilot
B3_indigenous_minority,30,0,0,0,0,0,1.0,,,ALL_ZERO,v1_pilot
B4_traditional_craftsmanship,30,0,0,0,0,0,1.0,,,ALL_ZERO,v1_pilot
B5_commercialization_culture,30,0,0,0,0,0,1.0,,,ALL_ZERO,v1_pilot
B6_ai_cultural_content,30,0,0,0,0,0,1.0,,,ALL_ZERO,v1_pilot
power,30,13,8,7,6,1,0.767,0.496,0.667,,v2_pilot
privacy,30,2,1,1,1,0,0.967,0.655,0.667,,v2_pilot
safety,30,15,21,15,0,6,0.8,0.59,0.833,,v2_pilot
choice,30,1,3,1,0,2,0.933,0.473,0.5,,v2_pilot
community,30,9,4,4,5,0,0.833,0.517,0.615,,v2_pilot
engagement,30,19,12,10,9,2,0.633,0.278,0.645,,v2_pilot
ip_protection,30,3,5,2,1,3,0.867,0.433,0.5,,v2_pilot
improvement,30,2,4,2,0,2,0.933,0.636,0.667,,v2_pilot
care,30,1,0,0,1,0,0.967,0.0,0.0,,v2_pilot
accountability,30,4,3,3,1,0,0.967,0.841,0.857,,v2_pilot
B1_authenticity_claims,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_pilot
B2_religious_sensitivity,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_pilot
B3_indigenous_minority,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_pilot
B4_traditional_craftsmanship,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_pilot
B5_commercialization_culture,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_pilot
B6_ai_cultural_content,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_pilot
power,30,23,3,2,21,1,0.267,-0.468,0.154,,v2_heritage
privacy,30,4,1,1,3,0,0.9,0.356,0.4,,v2_heritage
safety,30,26,30,26,0,4,0.867,-0.054,0.929,,v2_heritage
choice,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_heritage
community,30,5,5,5,0,0,1.0,1.0,1.0,PERFECT,v2_heritage
engagement,30,0,9,0,0,9,0.7,-0.157,0.0,,v2_heritage
ip_protection,30,1,1,1,0,0,1.0,1.0,1.0,PERFECT,v2_heritage
improvement,30,1,2,1,0,1,0.967,0.655,0.667,,v2_heritage
care,30,0,2,0,0,2,0.933,-0.017,0.0,,v2_heritage
accountability,30,0,1,0,0,1,0.967,0.0,0.0,,v2_heritage
B1_authenticity_claims,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_heritage
B2_religious_sensitivity,30,11,3,3,8,0,0.733,0.267,0.429,,v2_heritage
B3_indigenous_minority,30,19,10,10,9,0,0.7,0.409,0.69,,v2_heritage
B4_traditional_craftsmanship,30,10,5,3,7,2,0.7,0.213,0.4,,v2_heritage
B5_commercialization_culture,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_heritage
B6_ai_cultural_content,30,0,0,0,0,0,1.0,,,ALL_ZERO,v2_heritage
power,60,36,11,9,27,2,0.517,-0.006,0.383,,v2_all_60
privacy,60,6,2,2,4,0,0.933,0.469,0.5,,v2_all_60
safety,60,41,51,41,0,10,0.833,0.538,0.891,,v2_all_60
choice,60,1,3,1,0,2,0.967,0.487,0.5,,v2_all_60
community,60,14,9,9,5,0,0.917,0.733,0.783,,v2_all_60
engagement,60,19,21,10,9,11,0.667,0.256,0.5,,v2_all_60
ip_protection,60,4,6,3,1,3,0.933,0.567,0.6,,v2_all_60
improvement,60,3,6,3,0,3,0.95,0.643,0.667,,v2_all_60
care,60,1,2,0,1,2,0.95,-0.017,0.0,,v2_all_60
accountability,60,4,4,3,1,1,0.967,0.734,0.75,,v2_all_60
B1_authenticity_claims,60,0,0,0,0,0,1.0,,,ALL_ZERO,v2_all_60
B2_religious_sensitivity,60,11,3,3,8,0,0.867,0.358,0.429,,v2_all_60
B3_indigenous_minority,60,19,10,10,9,0,0.85,0.594,0.69,,v2_all_60
B4_traditional_craftsmanship,60,10,5,3,7,2,0.85,0.32,0.4,,v2_all_60
B5_commercialization_culture,60,0,0,0,0,0,1.0,,,ALL_ZERO,v2_all_60
B6_ai_cultural_content,60,0,0,0,0,0,1.0,,,ALL_ZERO,v2_all_60
