section_id,gemini_power,gemini_reason_power,gemini_privacy,gemini_reason_privacy,gemini_safety,gemini_reason_safety,gemini_choice,gemini_reason_choice,gemini_community,gemini_reason_community,gemini_engagement,gemini_reason_engagement,gemini_ip_protection,gemini_reason_ip_protection,gemini_improvement,gemini_reason_improvement,gemini_care,gemini_reason_care,gemini_accountability,gemini_reason_accountability,gemini_B1_authenticity_claims,gemini_reason_B1_authenticity_claims,gemini_B2_religious_sensitivity,gemini_reason_B2_religious_sensitivity,gemini_B3_indigenous_minority,gemini_reason_B3_indigenous_minority,gemini_B4_traditional_craftsmanship,gemini_reason_B4_traditional_craftsmanship,gemini_B5_commercialization_culture,gemini_reason_B5_commercialization_culture,gemini_B6_ai_cultural_content,gemini_reason_B6_ai_cultural_content
S000006,1.0,"The section discusses 'behavior standards creators on TikTok must follow' and 'What happens to your TikTok account if there's a violation?' and 'How to appeal if your account is restricted', indicating platform governance and enforcement.",0.0,,1.0,"The section states 'doesn't jeopardize the safety of others', which is a direct reference to preventing harm.",0.0,,1.0,The section refers to 'creators on TikTok' and 'creators' as a collective group with expected behavior standards.,1.0,"The section mentions 'participate in promotional and monetization programs on TikTok', which are mechanisms for user participation.",0.0,,0.0,,0.0,,1.0,"The section mentions 'How to appeal if your account is restricted', which is a formal mechanism for users to challenge platform decisions.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000007,1.0,"Explicit platform-authority language ('we believe you have violated', 'we'll notify you', 'restrictions that may apply', 'permanent ban') and user-recourse mechanism ('option to appeal').",0.0,,0.0,,1.0,Describes user-selectable option ('You'll have the option to appeal').,0.0,,1.0,Discusses mechanisms by which users participate ('participating in creator programs and other monetization activities').,0.0,,0.0,,0.0,,1.0,Describes a formal mechanism to hold the platform accountable ('option to appeal if you believe we made a mistake').,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000012,1.0,"Explicit platform-authority language ('we believe you have violated', 'we'll notify you', 'restrictions that may apply', 'permanent ban') and user-recourse mechanism ('option to appeal').",0.0,,1.0,"Describes restrictions and bans for violating a 'creator code of conduct', which implies preventing harm or maintaining order.",1.0,User has the 'option to appeal'.,0.0,,1.0,"Discusses 'participating in creator programs and other monetization activities', which are mechanisms for user participation.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000018,0.0,,0.0,,1.0,The section explicitly states 'We are also committed to keeping this community safe.',0.0,,1.0,"The section uses 'global community' and 'this community' with positive valence, describing it as a place where users can connect and be safe.",1.0,"The section mentions 'users can create and share authentically, discover the world around them, and connect with others across the globe,' which describes mechanisms by which users participate.",0.0,,0.0,,0.0,,0.0,,1.0,"The section states 'users can create and share authentically,' which uses the keyword 'authentically' in a context of user content creation, aligning with authenticity claims.",0.0,,0.0,,0.0,,0.0,,0.0,
S000013,1.0,"The section outlines 'behavior standards creators on TikTok must follow' and mentions 'What happens to your TikTok account if there's a violation?' and 'How to appeal if your account is restricted', indicating platform governance and enforcement.",0.0,,1.0,"The section states creators must behave 'in a manner... that doesn't jeopardize the safety of others or the integrity of our platform', which is a prohibition oriented toward preventing harm.",0.0,,1.0,The section refers to 'creators on TikTok' as a collective group with expected behavior standards.,1.0,The section discusses 'promotional and monetization programs on TikTok' which are mechanisms for user participation.,0.0,,0.0,,0.0,,1.0,"The section mentions 'How to appeal if your account is restricted', which is a formal mechanism for users to challenge platform decisions.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000016,1.0,"Section discusses 'Appeal' process for 'content violations and bans', indicating user-recourse mechanisms against platform enforcement.",0.0,,1.0,"Section refers to 'content violations and bans', which are mechanisms to prevent harm and maintain public order.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section describes an 'Appeal' process, which is a formal mechanism to hold the platform accountable for its enforcement decisions.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000019,1.0,"Section contains explicit platform-authority language ('We do not allow', 'we handle the issue by banning the account and cooperating with relevant legal authorities') and content prohibitions.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm ('promote terrorism, crime, or other types of behavior that could cause harm', 'credible threat to public safety').",0.0,,1.0,"Section invokes 'community' as a valued collective with positive valence ('evolve with community behavior', 'keep TikTok a safe place for creativity and joy').",0.0,,0.0,,1.0,"Section describes platform enhancing/evolving features ('We update our Community Guidelines from time to time to evolve with community behavior, mitigate emerging risks').",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000020,1.0,"Section contains explicit content prohibitions: 'Do not post', 'We remove content that promotes hateful ideologies'.",0.0,,1.0,"Section describes content prohibitions ('Hateful ideology', 'Harassment and bullying') oriented toward preventing harm and promoting a safe environment.",0.0,,1.0,Section invokes 'inclusive and supportive community' and states 'Users should feel safe to express themselves'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000021,1.0,"The section contains explicit platform-authority language and content prohibitions: 'We remove content', 'We prohibit any form of content'.",0.0,,1.0,The section describes content prohibitions oriented toward preventing harm related to suicide and self-inflicted death.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000010,0.0,,0.0,,1.0,"The section lists 'Account and user safety', 'Safety on TikTok', 'Content violations and bans', 'Transaction policy violations and bans', 'Age-restricted content', 'Avoid phishing', 'For parents and guardians', 'Minimum age appeals', 'Underage appeals', 'TikTok Under 13 Experience', all indicating prevention of harm or protection.",0.0,,1.0,"The section explicitly mentions 'Community Guidelines' and 'Creator code of conduct', referring to users as a collective.",1.0,"The section lists 'Creating an account', 'Setting up your profile', 'Connect to third-party apps', 'TikTok developer products', 'TikTok Research Tools', 'TikTok LIVE', which are mechanisms for user participation and interaction with the platform.",1.0,"The section lists 'Copyright', 'Intellectual property', 'Trademark and counterfeiting'.",0.0,,0.0,,1.0,"The section lists 'Law Enforcement Data Request Guidelines', 'Why is my account not being recommended? Your account status', 'Minimum age appeals on TikTok', 'Underage appeals on TikTok', which are mechanisms for platform accountability or user recourse.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000015,1.0,"The section outlines 'behavior standards creators on TikTok must follow' and mentions 'What happens to your TikTok account if there's a violation?' and 'How to appeal if your account is restricted', indicating platform governance and enforcement.",0.0,,1.0,"The section states creators must behave 'in a manner... that doesn't jeopardize the safety of others or the integrity of our platform', which is a prohibition oriented toward preventing harm.",0.0,,1.0,The section refers to 'creators on TikTok' as a collective group with expected behavior standards.,1.0,The section discusses 'promotional and monetization programs on TikTok' which are mechanisms for user participation.,0.0,,0.0,,0.0,,1.0,"The section mentions 'How to appeal if your account is restricted', which is a formal mechanism for users to challenge platform decisions.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000017,0.0,,0.0,,1.0,"The section lists 'Account and user safety', 'Safety on TikTok', 'Content violations and bans', 'Transaction policy violations and bans', 'Age-restricted content', 'Avoid phishing', 'For parents and guardians', 'Minimum age appeals', 'Underage appeals', 'TikTok Under 13 Experience', all indicating prevention of harm or protection.",0.0,,1.0,"The section explicitly mentions 'Community Guidelines' and 'Creator code of conduct', referring to users as a collective.",1.0,"The section lists 'Creating an account', 'Setting up your profile', 'Connect to third-party apps', 'TikTok developer products', 'TikTok Research Tools', 'TikTok LIVE', which are mechanisms for user participation and interaction with the platform.",1.0,"The section lists 'Copyright', 'Intellectual property', 'Trademark and counterfeiting'.",0.0,,0.0,,1.0,"The section lists 'Law Enforcement Data Request Guidelines', 'Why is my account not being recommended? Your account status', 'Minimum age appeals on TikTok', 'Underage appeals on TikTok', which are mechanisms for platform accountability or user recourse.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000023,0.0,,0.0,,1.0,"The guidelines allow the community to help maintain a 'safe shared space', indicating a focus on preventing harm.",0.0,,1.0,"Refers to 'our community' and 'community to help maintain a safe shared space', invoking users as a valued collective.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000027,1.0,Content 'may be removed' and 'Promotion of criminal activities' is a prohibition.,0.0,,1.0,"Discusses removal of content related to illegal/regulated activities and 'harmful behavior', preventing harm.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000029,1.0,"Section contains multiple content prohibitions: 'we do not tolerate abusive content', 'We remove all expressions of abuse', 'Do not post: Content that threatens...'",1.0,Section explicitly discusses 'Infringement of others' privacy' and 'Revealing or threatening to reveal personally identifiable information'.,1.0,"Section describes extensive content prohibitions and restrictions oriented toward preventing harm: 'psychological distress', 'abusive content', 'violent threats', 'sexual harassment', 'wishes death, serious disease', 'incites violence', 'real-world harm'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000024,0.0,,0.0,,1.0,The section explicitly states 'feeling safe is essential' and discusses 'keeping deceptive content and accounts off our platform' to prevent harm.,0.0,,1.0,The section refers to 'Community Guidelines' and implies a collective 'people' feeling comfortable and expressing themselves.,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section mentions 'authentic interactions' and 'keeping deceptive content' in the context of platform environment, which relates to governing authenticity.",0.0,,0.0,,0.0,,0.0,,0.0,
S000031,1.0,"Section contains explicit content prohibitions: 'We also do not allow content...', 'Do not post', 'They are not tolerated on our platform', 'we may give exceptions'.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm based on protected attributes: 'threatens violence or depicts harm', 'dehumanizes or incites violence or hatred', 'Slurs are defined as derogatory terms that are intended to disparage... not tolerated'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,The keyword 'Religion' is listed as a protected attribute within a content prohibition section ('based on any of the following protected attributes: - Religion').,1.0,The keywords 'Ethnicity' and 'National origin' are listed as protected attributes within a content prohibition section ('based on any of the following protected attributes: - Race - Ethnicity - National origin').,0.0,,0.0,,0.0,
S000026,1.0,"The section contains explicit platform-authority language and content prohibitions: 'We remove content', 'We prohibit any form of content'.",0.0,,1.0,The section describes content prohibitions oriented toward preventing harm related to suicide and self-inflicted death.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000028,1.0,"Section contains explicit platform-authority language ('We do not allow', 'we remove', 'suspend or ban accounts') and content prohibitions.",0.0,,1.0,Section describes content prohibitions ('hate speech') oriented toward preventing harm to individuals or groups.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000025,0.0,,0.0,,1.0,The section explicitly states 'We are also committed to keeping this community safe.',0.0,,1.0,"The section uses 'global community' and 'this community' with positive valence, describing it as a place where users can connect and be safe.",1.0,"The section mentions 'users can create and share authentically, discover the world around them, and connect with others across the globe,' which describes mechanisms by which users participate.",0.0,,0.0,,0.0,,0.0,,1.0,"The section states 'users can create and share authentically,' which uses the keyword 'authentically' in a context of user content creation, aligning with authenticity claims.",0.0,,0.0,,0.0,,0.0,,0.0,
S000030,0.0,,0.0,,1.0,"The guidelines allow the community to help maintain a 'safe shared space', indicating a focus on preventing harm.",0.0,,1.0,"Refers to 'our community' and 'community to help maintain a safe shared space', invoking users as a valued collective.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000034,1.0,"Section contains explicit content prohibitions: 'Do not post', 'We do not allow content that depicts or disseminates'.",0.0,,1.0,"Section describes content prohibitions and restrictions oriented toward preventing harm, specifically non-consensual sexual acts, sexual solicitation, pornography, nudity, child abuse, and child sexual exploitation.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000033,1.0,"Section contains explicit content prohibitions ('We do not allow content that promotes self-harm or suicide', 'We remove content that displays suicide').",0.0,,1.0,"Section describes content prohibitions and restrictions oriented toward preventing harm ('self-harm or suicide', 'suicidal tendencies').",0.0,,0.0,,1.0,Section describes mechanisms by which users participate ('share their experiences').,0.0,,0.0,,1.0,"Section directs users to support resources for distress ('suicide prevention hotline', 'contact legal authorities').",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000022,0.0,,0.0,,1.0,"The section states, 'Offering a safe and supportive environment is our top priority,' indicating a focus on preventing harm.",0.0,,1.0,"The section encourages users to 'find a community' and values that 'our users come from a huge breadth of nationalities and cultures,' invoking a valued collective.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section mentions 'cultural norms' and 'local regulations' in the context of diverse nationalities and cultures, which falls under the 'cultural norm' keyword for content governance considerations.",0.0,,0.0,,0.0,
S000035,1.0,"Section contains explicit content prohibitions: 'Do not post:', 'We do not allow sexually explicit or gratifying content'.",1.0,Section discusses content that reveals or threatens to reveal personally identifiable information.,1.0,"Section describes content prohibitions to prevent harm, including revealing PII, threats of sexual imagery, and sexually explicit content that can cause harm to users.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section mentions 'overtly sexual content can be offensive within certain cultures', which triggers 'cultural practice, cultural norm, regional culture, regional exception (cultural)' keywords within a content governance context.",0.0,,0.0,,0.0,
S000037,1.0,Section contains explicit content prohibition 'Do not post' and 'we do not want to contribute'.,0.0,,1.0,Section describes content prohibitions ('Do not post: Content that invokes non-consensual slurs') oriented toward preventing harm and promoting an 'inclusive and supportive community'.,0.0,,1.0,Section invokes 'inclusive and supportive community' as a valued collective.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000032,0.0,,0.0,,1.0,The section explicitly states 'We are also committed to keeping this community safe.',0.0,,1.0,"The section uses 'global community' and 'this community' with positive valence, emphasizing building and keeping it safe.",1.0,"The mission includes 'inspire creativity and bring joy' and 'users can create and share authentically, discover the world around them, and connect with others across the globe,' which describes mechanisms by which users participate.",0.0,,0.0,,0.0,,0.0,,1.0,"The section states 'users can create and share authentically,' which is a keyword for authenticity claims within a content-governance context (even if aspirational here).",0.0,,0.0,,0.0,,0.0,,0.0,
S000036,1.0,"Section contains explicit content prohibitions: 'We also remove content distributed by disinformation campaigns. Do not post:', 'We do not allow users to publish or distribute content that infringes someone else's intellectual property rights.'",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm: 'Misinformation meant to incite fear, hate, or prejudice', 'Misinformation that may cause harm to an individual's health', 'Hoaxes, phishing attempts, or manipulated content meant to cause harm', 'Content that misleads community members about elections or other civic processes'.",0.0,,1.0,Refers to 'community members' in a positive valence regarding protection from misinformation.,1.0,Encourages users to 'create and share original content'.,1.0,Explicitly discusses 'Intellectual property' and prohibits content that 'infringes someone else's intellectual property rights'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000040,1.0,"Section contains explicit content prohibitions: 'We remove content', 'not allowed', 'Do not post'.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing physical harm and health issues: 'self-inflicted injury', 'health issues', 'self-harm', 'dangerous behavior', 'serious injury or death'.",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"Section includes an exception for 'Content that provides support, resources, or coping mechanisms for those suffering from eating disorders or participating in self-harm'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000044,1.0,Section contains explicit content prohibition: 'Do not post:' and 'Child abuse is defined as...',0.0,,1.0,Section describes content prohibitions ('Do not post: Content that depicts minors consuming...') and defines harm ('Child abuse is defined as a person in power inflicting physical and/or psychological trauma on a minor.').,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000042,1.0,Section contains explicit content prohibition 'Do not post' and 'we do not tolerate abusive content or behavior'.,0.0,,1.0,"Section describes content prohibitions against 'hateful ideologies', 'harassment and bullying', and 'abusive content' to prevent harm.",0.0,,1.0,Section states 'Users should feel safe to express themselves' and refers to 'our platform' in the context of user experience.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000043,1.0,"Section contains multiple content prohibitions: 'we remove content that promotes criminal activities', 'Do not post', 'we generally do not allow the depiction, trade, or promotion of firearms', 'We also prohibit instructions'.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm: 'promotes criminal activities', 'acts of physical harm', 'risks the safety of others', 'human exploitation or wildlife trafficking', 'unlawfully acquired goods', 'Sale or use of weapons', 'firearms, ammunition, firearm accessories, or explosive weapons'.",0.0,,1.0,Section explicitly states 'To protect our community'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000039,0.0,,0.0,,1.0,The section explicitly states 'We are also committed to keeping this community safe.',0.0,,1.0,"The section uses 'global community' and discusses users connecting with 'others across the globe', indicating a valued collective.",1.0,"The section states 'users can create and share authentically, discover the world around them, and connect with others across the globe', describing mechanisms by which users participate.",0.0,,0.0,,0.0,,0.0,,1.0,"The section states 'users can create and share authentically', which is a keyword for authenticity claims within a content-governance context (even if aspirational here).",0.0,,0.0,,0.0,,0.0,,0.0,
S000045,0.0,,0.0,,1.0,"The guidelines allow the community to help maintain a 'safe shared space', indicating a focus on preventing harm.",0.0,,1.0,"Refers to 'our community' and 'community to help maintain a safe shared space', invoking users as a valued collective.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000041,1.0,"Section contains multiple content prohibitions ('Do not post', 'our policies prohibit activities', 'Do not hack', 'Do not distribute', 'Do not modify', 'Do not use automated scripts') and platform enforcement language ('we can review and take appropriate action').",0.0,,1.0,"Section describes content prohibitions and restrictions oriented toward preventing harm to the platform and users ('Threats to platform security', 'undermine the TikTok service', 'viruses, Trojan horses, worms, logic bombs, or other materials that are malicious or harmful').",0.0,,1.0,"Section invokes 'vibrant global community' and 'safe space for all users' with positive valence, and encourages users to report violations ('working with us to maintain a safe space for all users', 'If you come across content or accounts... please let us know').",0.0,,1.0,"Section explicitly prohibits content that 'violates or infringes someone else's copyrights, trademarks, or other intellectual property rights'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000048,1.0,"Section contains multiple explicit content prohibitions: 'Do not post', 'We do not allow content that depicts or disseminates'.",0.0,,1.0,"Section describes content prohibitions and restrictions oriented toward preventing harm, including non-consensual sexual acts, sexual solicitation, pornography, and child abuse/exploitation.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000047,1.0,"Section contains explicit content prohibitions: 'Do not post:', 'We do not allow content that is excessively gruesome or shocking'.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm (deception, scams, gruesome/shocking content, violence, suffering).",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000049,1.0,"Section contains explicit content prohibitions: 'We prohibit any form of content that praises, glorifies, or promotes suicide', 'Do not post', 'we do not allow imagery that depicts such behavior'.",0.0,,1.0,"Section describes content prohibitions and restrictions oriented toward preventing harm related to suicide and self-harm. This is a content prohibition, so safety=1 and power=1.",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"The section includes 'Exceptions: Content that provides support, resources, or coping mechanisms for those going through suicidal ideation', which directs users to support resources for distress and wellbeing.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000046,0.0,,0.0,,1.0,The section explicitly states 'We are also committed to keeping this community safe.',0.0,,1.0,"The section uses 'global community' and discusses users connecting with 'others across the globe', indicating a valued collective.",1.0,"The section states 'users can create and share authentically, discover the world around them, and connect with others across the globe', describing mechanisms by which users participate.",0.0,,0.0,,0.0,,0.0,,1.0,"The section states 'users can create and share authentically', which is a keyword for authenticity claims within a content-governance context (even if aspirational here).",0.0,,0.0,,0.0,,0.0,,0.0,
S000052,1.0,"Explicit platform-authority language: 'We also recognize that some content that would normally be removed per our guidelines could have value to the public. Therefore, we may allow exceptions under certain circumstances' and 'what is and what is not allowed' implies platform rules.",0.0,,1.0,"Discusses 'what is and what is not allowed on the platform' and 'content that would normally be removed per our guidelines', indicating content restrictions to prevent harm.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000051,1.0,"Section contains explicit content prohibitions: 'we remove content that promotes criminal activities', 'Do not post', 'we generally do not allow', 'We also prohibit instructions'.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm: 'promotes criminal activities', 'acts of physical harm', 'risks the safety of others', 'human exploitation or wildlife trafficking', 'unlawfully acquired goods', 'Sale or use of weapons', 'depiction, trade, or promotion of firearms, ammunition, firearm accessories, or explosive weapons'.",0.0,,1.0,Section invokes 'our community' as a valued collective with positive valence: 'To protect our community'.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000050,1.0,"Section contains multiple content prohibitions ('Do not post', 'our policies prohibit activities', 'Do not hack', 'Do not distribute', 'Do not modify', 'Do not use automated scripts') and platform enforcement language ('we can review and take appropriate action').",0.0,,1.0,"Section describes content prohibitions and restrictions oriented toward preventing harm to the platform and users ('Threats to platform security', 'undermine the TikTok service', 'viruses, Trojan horses, worms, logic bombs, or other materials that are malicious or harmful').",0.0,,1.0,"Section invokes 'vibrant global community' and 'safe space for all users' with positive valence, and encourages users to report violations ('working with us to maintain a safe space for all users', 'If you come across content or accounts... please let us know').",0.0,,1.0,"Section explicitly prohibits content that 'violates or infringes someone else's copyrights, trademarks, or other intellectual property rights'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000038,1.0,"Section contains explicit content prohibitions: 'We prohibit any form of content...', 'Do not post:', 'we do not allow imagery...'",0.0,,1.0,Section describes content prohibitions oriented toward preventing harm related to suicide and self-harm.,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"Section includes 'Exceptions: Content that provides support, resources, or coping mechanisms for those going through suicidal ideation'.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
S000057,1.0,"Section contains explicit content prohibitions: 'Do not post:', 'We do not allow content that is excessively gruesome or shocking'.",0.0,,1.0,"Section describes content prohibitions oriented toward preventing harm (deception, scams, gruesome/shocking content, violence, suffering).",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
