code,year,category,n_sections,n_ones,pct
power,2019,NEWS,29,5.0,17.2
power,2019,VI,5,2.0,40.0
power,2020,CG,398,307.0,77.1
power,2020,NEWS,85,18.0,21.2
power,2020,TRANS,36,21.0,58.3
power,2020,VI,365,236.0,64.7
power,2021,CG,540,466.0,86.3
power,2021,NEWS,38,6.0,15.8
power,2021,TRANS,84,48.0,57.1
power,2021,VI,180,110.0,61.1
power,2022,CG,693,586.0,84.6
power,2022,NEWS,19,5.0,26.3
power,2022,TOS,105,65.0,61.9
power,2022,VI,636,401.0,63.1
power,2023,CG,196,164.0,83.7
power,2023,NEWS,33,1.0,3.0
power,2023,TOS,487,298.0,61.2
power,2023,VI,797,516.0,64.7
power,2024,CCC,4,4.0,100.0
power,2024,NEWS,21,5.0,23.8
power,2024,TOS,448,237.0,52.9
power,2024,VI,622,381.0,61.3
power,2025,CCC,14,11.0,78.6
power,2025,CG,54,30.0,55.6
power,2025,NEWS,37,6.0,16.2
power,2025,TOS,493,289.0,58.6
power,2025,VI,731,437.0,59.8
power,sub,CG,1783,1085.0,60.9
privacy,2019,NEWS,29,2.0,6.9
privacy,2019,VI,5,0.0,0.0
privacy,2020,CG,398,18.0,4.5
privacy,2020,NEWS,85,2.0,2.4
privacy,2020,TRANS,36,7.0,19.4
privacy,2020,VI,365,0.0,0.0
privacy,2021,CG,540,36.0,6.7
privacy,2021,NEWS,38,5.0,13.2
privacy,2021,TRANS,84,17.0,20.2
privacy,2021,VI,180,0.0,0.0
privacy,2022,CG,693,51.0,7.4
privacy,2022,NEWS,19,1.0,5.3
privacy,2022,TOS,105,10.0,9.5
privacy,2022,VI,636,0.0,0.0
privacy,2023,CG,196,19.0,9.7
privacy,2023,NEWS,33,1.0,3.0
privacy,2023,TOS,487,44.0,9.0
privacy,2023,VI,797,0.0,0.0
privacy,2024,CCC,4,0.0,0.0
privacy,2024,NEWS,21,2.0,9.5
privacy,2024,TOS,448,40.0,8.9
privacy,2024,VI,622,0.0,0.0
privacy,2025,CCC,14,0.0,0.0
privacy,2025,CG,54,5.0,9.3
privacy,2025,NEWS,37,2.0,5.4
privacy,2025,TOS,493,49.0,9.9
privacy,2025,VI,731,1.0,0.1
privacy,sub,CG,1783,64.0,3.6
safety,2019,NEWS,29,9.0,31.0
safety,2019,VI,5,0.0,0.0
safety,2020,CG,398,392.0,98.5
safety,2020,NEWS,85,24.0,28.2
safety,2020,TRANS,36,10.0,27.8
safety,2020,VI,365,39.0,10.7
safety,2021,CG,540,456.0,84.4
safety,2021,NEWS,38,13.0,34.2
safety,2021,TRANS,84,23.0,27.4
safety,2021,VI,180,19.0,10.6
safety,2022,CG,693,608.0,87.7
safety,2022,NEWS,19,6.0,31.6
safety,2022,TOS,105,24.0,22.9
safety,2022,VI,636,74.0,11.6
safety,2023,CG,196,174.0,88.8
safety,2023,NEWS,33,2.0,6.1
safety,2023,TOS,487,99.0,20.3
safety,2023,VI,797,97.0,12.2
safety,2024,CCC,4,4.0,100.0
safety,2024,NEWS,21,8.0,38.1
safety,2024,TOS,448,82.0,18.3
safety,2024,VI,622,79.0,12.7
safety,2025,CCC,14,12.0,85.7
safety,2025,CG,54,30.0,55.6
safety,2025,NEWS,37,13.0,35.1
safety,2025,TOS,493,94.0,19.1
safety,2025,VI,731,92.0,12.6
safety,sub,CG,1783,1389.0,77.9
choice,2019,NEWS,29,7.0,24.1
choice,2019,VI,5,1.0,20.0
choice,2020,CG,398,0.0,0.0
choice,2020,NEWS,85,5.0,5.9
choice,2020,TRANS,36,1.0,2.8
choice,2020,VI,365,61.0,16.7
choice,2021,CG,540,2.0,0.4
choice,2021,NEWS,38,4.0,10.5
choice,2021,TRANS,84,3.0,3.6
choice,2021,VI,180,34.0,18.9
choice,2022,CG,693,24.0,3.5
choice,2022,NEWS,19,2.0,10.5
choice,2022,TOS,105,13.0,12.4
choice,2022,VI,636,122.0,19.2
choice,2023,CG,196,11.0,5.6
choice,2023,NEWS,33,2.0,6.1
choice,2023,TOS,487,45.0,9.2
choice,2023,VI,797,135.0,16.9
choice,2024,CCC,4,0.0,0.0
choice,2024,NEWS,21,2.0,9.5
choice,2024,TOS,448,26.0,5.8
choice,2024,VI,622,112.0,18.0
choice,2025,CCC,14,3.0,21.4
choice,2025,CG,54,4.0,7.4
choice,2025,NEWS,37,8.0,21.6
choice,2025,TOS,493,45.0,9.1
choice,2025,VI,731,156.0,21.3
choice,sub,CG,1783,121.0,6.8
community,2019,NEWS,29,20.0,69.0
community,2019,VI,5,0.0,0.0
community,2020,CG,398,189.0,47.5
community,2020,NEWS,85,48.0,56.5
community,2020,TRANS,36,22.0,61.1
community,2020,VI,365,0.0,0.0
community,2021,CG,540,200.0,37.0
community,2021,NEWS,38,19.0,50.0
community,2021,TRANS,84,53.0,63.1
community,2021,VI,180,0.0,0.0
community,2022,CG,693,199.0,28.7
community,2022,NEWS,19,10.0,52.6
community,2022,TOS,105,2.0,1.9
community,2022,VI,636,0.0,0.0
community,2023,CG,196,43.0,21.9
